length,tempo,timeSinceRelease,releaseMonth,artists,names,popularity
178520,196.0,860,1,Morgan Wallen,Wasted On You,86
239845,92.491,706,6,Peso Pluma,Por las Noches,93
226466,105.02,524,12,Tory Lanez,The Color Violet,89
242965,145.887,622,9,Drake,Knife Talk (with 21 Savage ft. Project Pat),84
216573,126.019,860,1,Morgan Wallen,More Than My Hometown,81
252262,134.093,615,9,Baby Keem,family ties (with Kendrick Lamar),83
167480,177.945,727,5,Jordan Davis,Buy Dirt,82
192956,136.006,804,3,Drake,Wants and Needs (feat. Lil Baby),83
291175,167.937,622,9,Drake,Fair Trade (with Travis Scott),86
163025,131.443,531,12,Nicky Youre,Sunroof,88
202133,69.877,860,1,Morgan Wallen,Sand In My Boots,80
613026,93.023,552,11,Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),85
293706,128.01,860,1,Morgan Wallen,Cover Me Up,80
147062,179.626,733,5,Surf Curse,Freaks,86
131500,96.552,643,8,ame,raining for hours,84
210506,203.903,860,1,Morgan Wallen,7 Summers,79
220433,140.061,608,9,Taylor Swift,Wildest Dreams (Taylor's Version),85
178146,166.928,727,5,Olivia Rodrigo,good 4 u,86
165925,81.039,706,6,Polo G,RAPSTAR,82
185280,110.074,860,1,Morgan Wallen,This Bar,78
218801,140.021,734,5,J. Cole,m y . l i f e (with 21 Savage & Morray),80
98544,125.605,580,10,PinkPantheress,Pain,82
123986,80.511,715,6,Sleepy Hallow,2055,82
160052,138.016,615,9,Yeat,Monëy so big,81
298899,81.055,657,7,Billie Eilish,Happier Than Ever,87
207853,141.02,566,10,Ed Sheeran,Shivers,88
229226,100.607,727,5,Olivia Rodrigo,traitor,87
221520,84.08,587,10,Cody Johnson,Human,77
153190,153.96,790,3,Justin Bieber,Ghost,88
232093,86.041,608,9,Jelly Roll,Son Of A Sinner,77
215506,180.917,727,5,Olivia Rodrigo,deja vu,86
231124,130.033,769,4,Taylor Swift,You Belong With Me (Taylor’s Version),84
142839,175.014,539,11,INTERWORLD,METAMORPHOSIS,89
172626,107.998,692,6,Doja Cat,Woman,87
152666,172.929,727,5,Olivia Rodrigo,favorite crime,85
588139,140.223,692,6,"Tyler, The Creator",SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues),80
180379,157.905,720,5,Cochise,Tell Em,81
156040,94.03,615,9,Baby Keem,16,79
236524,150.062,748,4,DJ Khaled,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),78
235766,119.082,825,2,Taylor Swift,Love Story (Taylor’s Version),82
195120,159.488,532,12,The Rare Occasions,Notion,82
243136,161.032,769,4,Taylor Swift,The Way I Loved You (Taylor’s Version),84
242013,143.875,727,5,Olivia Rodrigo,drivers license,86
241591,100.118,769,4,Taylor Swift,Fearless (Taylor’s Version),80
177720,101.358,624,9,Stephen Sanchez,Until I Found You,86
224213,160.087,587,10,Cody Johnson,'Til You Can't,76
141805,169.928,678,7,The Kid LAROI,STAY (with Justin Bieber),87
121572,142.347,692,6,"Tyler, The Creator",WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),78
230746,126.011,566,10,Ed Sheeran,Bad Habits,87
210560,130.041,692,6,Doja Cat,Need to Know,82
